===== Overall Metrics =====
Accuracy: 0.9744
Precision Macro: 0.9740
Recall Macro: 0.9738
F1 Macro: 0.9739
Precision Micro: 0.9744
Recall Micro: 0.9744
F1 Micro: 0.9744
Precision Weighted: 0.9744
Recall Weighted: 0.9744
F1 Weighted: 0.9744

===== Per-Class Metrics =====
Class                            Accuracy  Precision     Recall   F1-Score
--------------------------------------------------------------------------
ApplyEyeMakeup                     0.9619     0.9681     0.9619     0.9650
ApplyLipstick                      0.9839     0.9760     0.9839     0.9799
Archery                            0.9778     0.9778     0.9778     0.9778
BabyCrawling                       0.9373     0.9406     0.9373     0.9389
BalanceBeam                        0.9571     0.9696     0.9571     0.9633
BandMarching                       0.9760     0.9645     0.9760     0.9702
BaseballPitch                      0.9878     0.9878     0.9878     0.9878
Basketball                         0.9863     0.9897     0.9863     0.9880
BasketballDunk                     0.9857     0.9718     0.9857     0.9787
BenchPress                         0.9913     0.9856     0.9913     0.9885
Biking                             0.9792     0.9758     0.9792     0.9775
Billiards                          0.9907     0.9876     0.9907     0.9891
BlowDryHair                        0.9644     0.9644     0.9644     0.9644
BlowingCandles                     0.9492     0.9614     0.9492     0.9552
BodyWeightSquats                   0.9713     0.9875     0.9713     0.9793
Bowling                            0.9970     0.9941     0.9970     0.9955
BoxingPunchingBag                  0.9661     0.9716     0.9661     0.9688
BoxingSpeedBag                     0.9688     0.9688     0.9688     0.9688
BreastStroke                       0.9954     0.9909     0.9954     0.9931
BrushingTeeth                      0.9689     0.9655     0.9689     0.9672
CleanAndJerk                       0.9833     0.9874     0.9833     0.9854
CliffDiving                        0.9932     0.9866     0.9932     0.9899
CricketBowling                     0.9733     0.9701     0.9733     0.9717
CricketShot                        0.9694     0.9721     0.9694     0.9708
CuttingInKitchen                   0.9412     0.9532     0.9412     0.9471
Diving                             0.9969     0.9908     0.9969     0.9938
Drumming                           0.9683     0.9628     0.9683     0.9655
Fencing                            0.9790     0.9831     0.9790     0.9811
FieldHockeyPenalty                 0.9815     0.9888     0.9815     0.9852
FloorGymnastics                    0.9813     0.9850     0.9813     0.9831
FrisbeeCatch                       0.9704     0.9632     0.9704     0.9668
FrontCrawl                         0.9798     0.9864     0.9798     0.9831
GolfSwing                          0.9836     0.9836     0.9836     0.9836
Haircut                            0.9614     0.9547     0.9614     0.9580
Hammering                          0.9967     0.9870     0.9967     0.9918
HammerThrow                        0.9598     0.9568     0.9598     0.9583
HandstandPushups                   0.9928     0.9821     0.9928     0.9874
HandstandWalking                   0.9583     0.9583     0.9583     0.9583
HeadMassage                        0.9781     0.9842     0.9781     0.9811
HighJump                           0.9663     0.9736     0.9663     0.9699
HorseRace                          0.9888     0.9743     0.9888     0.9815
HorseRiding                        0.9606     0.9688     0.9606     0.9646
HulaHoop                           0.9852     0.9779     0.9852     0.9815
IceDancing                         0.9942     0.9913     0.9942     0.9927
JavelinThrow                       0.9724     0.9724     0.9724     0.9724
JugglingBalls                      0.9770     0.9884     0.9770     0.9827
JumpingJack                        1.0000     0.9962     1.0000     0.9981
JumpRope                           0.9872     0.9840     0.9872     0.9856
Kayaking                           0.9672     0.9578     0.9672     0.9625
Knitting                           0.9698     0.9698     0.9698     0.9698
LongJump                           0.9928     0.9928     0.9928     0.9928
Lunges                             0.9669     0.9741     0.9669     0.9705
MilitaryParade                     0.9665     0.9559     0.9665     0.9612
Mixing                             0.9688     0.9688     0.9688     0.9688
MoppingFloor                       0.9534     0.9825     0.9534     0.9677
Nunchucks                          0.9824     0.9894     0.9824     0.9859
ParallelBars                       0.9590     0.9590     0.9590     0.9590
PizzaTossing                       0.9637     0.9560     0.9637     0.9598
