epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,229.761,0.29766,0.93484,1,0.17007,0.00333186,0.00333186,0.00333186
2,455.427,0.16001,0.93635,1,0.22733,0.00640126,0.00640126,0.00640126
3,678.696,0.17705,0.92699,1,0.23219,0.00920665,0.00920665,0.00920665
4,903.396,0.17276,0.93446,1,0.20714,0.008812,0.008812,0.008812
5,1126.1,0.11557,0.94534,1,0.23194,0.008416,0.008416,0.008416
6,1348.85,0.10084,0.95659,1,0.17042,0.00802,0.00802,0.00802
7,1571.66,0.08137,0.95706,1,0.1661,0.007624,0.007624,0.007624
8,1794.65,0.07893,0.96189,1,0.1917,0.007228,0.007228,0.007228
9,2022.79,0.06501,0.9564,1,0.2182,0.006832,0.006832,0.006832
10,2248.17,0.05673,0.96189,1,0.19031,0.006436,0.006436,0.006436
11,2475.1,0.05839,0.96302,1,0.17251,0.00604,0.00604,0.00604
12,2701.4,0.04766,0.96094,1,0.19772,0.005644,0.005644,0.005644
13,2926.52,0.04529,0.96501,1,0.15166,0.005248,0.005248,0.005248
14,3150.93,0.03902,0.9634,1,0.18567,0.004852,0.004852,0.004852
15,3374.04,0.03547,0.96406,1,0.2166,0.004456,0.004456,0.004456
16,3596.85,0.03452,0.96246,1,0.21356,0.00406,0.00406,0.00406
17,3820.1,0.03114,0.96491,1,0.20912,0.003664,0.003664,0.003664
18,4045.17,0.02645,0.96387,1,0.21493,0.003268,0.003268,0.003268
