epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,103.39,0.43021,0.84923,1,0.37754,0.000553914,0.000553914,0.000553914
2,206.93,0.21379,0.908,1,0.23585,0.00106564,0.00106564,0.00106564
3,309.15,0.17578,0.8396,1,0.57966,0.00153336,0.00153336,0.00153336
4,411.477,0.13889,0.87476,1,0.39311,0.00146896,0.00146896,0.00146896
5,513.343,0.12331,0.88776,1,0.35325,0.00140295,0.00140295,0.00140295
6,615.428,0.11268,0.92245,1,0.22584,0.00133693,0.00133693,0.00133693
7,717.936,0.0884,0.88825,1,0.40928,0.00127092,0.00127092,0.00127092
8,819.777,0.06753,0.9104,1,0.30648,0.00120491,0.00120491,0.00120491
9,921.914,0.05923,0.91618,1,0.35896,0.00113889,0.00113889,0.00113889
10,1023.16,0.05993,0.87572,1,0.56696,0.00107288,0.00107288,0.00107288
11,1124.56,0.05568,0.89836,1,0.42372,0.00100687,0.00100687,0.00100687
